text,sentiment
"“:  We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA",negative
 YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,positive
 that website does not give correct info said my bag was in Miami was in key west the entire time..I got the run around for 2 days,negative
 now flying non stop CMH-OAK has me daydreaming about a trip to the bay...especially in this weather. #OhioProbz,positive
 So what does someone with severe anxiety do when the one person who can help him isn't next to him?,negative
 sent,neutral
 does Virgin America fly direct from Seattle to NYC or Boston?,neutral
 Well I'm showing I am still sitting at the gate on the plane that has not departed?,negative
 Terribly disappointed. Confirmed reservation delayed and your cust. service staff was not helpful in finding an alternate solution.,negative
 how do I get you to stop sending me emails about my ex boyfriends account? I don't care how many points he has! He only has,negative
 Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,positive
 thanks for the worst customer service on the face of the earth. I loved the 5+ hrs on hold along w 2 Cancelled Flightled flights,negative
 called back and I've been on hold. What is the issue?! I have a confirmation number and an email that shows how much I've paid,negative
 that's where we are now. Thank you.,positive
 Trying desperately to get my boyfriend booked on the same US Airways flight as myself for the same price. Can you help?,negative
 flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,negative
" my trip is a month away...why do you consider it ""around the corner""? Is that a setting I can change?",negative
  800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.,negative
"  Sorry in, like, a general way? Or sorry that incompetence/understaffing is compounding weather issues?",negative
 pls stop sending texts every 15mins saying my flight is delayed another 15mins-It's been 3hrs. I usually defend u but this is lame..,negative
 Cancelled Flightled two flights from Miami to Nashville yesterday and could not get me on a flight for 3-4 days. #Southwestairwasthere,negative
" He is going to file a formal complaint, this should have never happened. Please direct us to the right department.",negative
 I didn't take my original flight. I was suppose to arrive last night than by 2:00pm today. Didn't get in til 5,negative
" Sent an email more than 24 hours ago asking a few questions, still no response. Need answers before (hopefully) Flight Booking Problems flight...",negative
 well our plane just landed at the international terminal... so they announced the 10 pm new time.,negative
  she was traveling with me the one that got miscommunicated with,negative
 I actually could use a slight tweak to my return - not leaving here now til Monday -any way I can skip calling for that?,neutral
 Any option for luggage assistance on the ground at HPN? Flight 2168 delayed 2+ hours &amp; we will have 2 sleeping kids when we land,negative
 Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?,neutral
" your CSR in PHL suck.   Flt 3883 gets cx'd,  i get rebooked to the next day?  On standby for 4011. Not hopeful.",negative
 what's with the layover in Canada from the UA125? Is that scheduled?,neutral
 WELL...my paid tickets have NO assigned seats at all. So essentially I won't be on this flight unless I pay more.,negative
" Great flight yesterday from MSY to AUS!! Thank you for such great safety,service and beautiful skies!! ",positive
" you'll enjoy this. 

“: Our fleet's on fleek. ",neutral
 that's fine. I'll take them.,positive
 are you expecting flights out of DFW to be Cancelled Flightled tomorrow AM and afternoon?,neutral
 stay more than 24h traveling ans sleeping on the airports floor,negative
 I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,neutral
" ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! ",neutral
 poor old United: never seem to get the response right :),negative
" so i ask for ice and the attendant snaps ""i dont have ice on this cart"" not 5 min Late Flightr 2 cups of ice to the people 2 rows ahead.",negative
" Very good flight, thank you!",positive
 In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER,negative
 Big fail on not having curbside baggage in Pittsburgh and you charge 30 dollars a bag!!,negative
" , sitting on plane for 2.5hrs at gate due to computer sys issue, at what point do you Cancelled Flight a flight?, ridiculous ",negative
. just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.,neutral
 mechanical issues causes delay and connecting plane at ORD only needed to wait 10 min for them. Refused and left early instead. Wtf,negative
 Was told you could only refund me the cost of my original return flight (note: flight you had booked for me was more expensive),negative
" any updates on Flt 1848, here at the gate and they have no expected time of departure",negative
 Still waiting on bags from flight 1613/2440 yesterday  First Class passenger not happy with your service.,negative
 enjoyed #heathrow lounge so much i almost missed my  flight!,positive
"  taking off now. if I don't have a private jet to bora bora by the time I land, I'm calling Oprah",neutral
 seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!,negative
 u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupNOHELP,neutral
 I (heart) my CP status. Sure would be nice to have though.,positive
    download jeokoo the American app for air travelers,neutral
 The so below skilled staff and inadequate system just deleted my return from Houston to Norway. Shoulder shrugging is all you do..,negative
 can you tell me why all flights from XNA 2 DFW are Cancelled Flightled for tomorrow morning already?,negative
 fortunately the window seat was a no-show. Able to scoot over and create space.,negative
 I'm so sorry I cheated on you with  . Please take me back. I wore protection.,neutral
 Paid for in flight wifi from Austin to San Diego - wasn't useable. :/ Possible to get a refund? Conf #8X7XVM,negative
 you need this song for your next commercial!   #SWA #love,neutral
 why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,negative
   I hate evolved seating. knees in the seat pocket ,negative
 go to hell,negative
 Awesome thanks! Thanks for the quick response. You guys ROCK! :),positive
" you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home.",negative
 this is awful customer service.,negative
" once again your service leaves a lot to be desired. Flight 5141 here early, but short staffing means we wait on Tarmac...Thanks",negative
 that's not a answer!,negative
" There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight.",negative
 I want to speak to a human being! !!  This is not an obscene request!,negative
 No US Air ppl anywhere in PHL directed stranded pax. Kudos to the PHL employees getting off work at midnight. Only help we got.,negative
 soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),negative
 are my bags here yet?  They were at Palm Springs airport.  I was at LAX.  How come I beat my bags here.,negative
" I may not make my connection and need to find out my options, yet no one is here.",negative
  if that link worked most of us could take care of ourselves  please contact your tech people to get that working,negative
 the flight isn't that empty.... Is this rude or not? ,neutral
" really, so what does that mean??? #usairwayssucks",negative
" = WORST. Booked in Oct. w/ email confirm &amp; NEVER INFORMED Cancelled Flightlation. Instructed ""to mail written letter"" ",negative
 I spent over an hour of my morning on hold w/ your customer support. I want my confirmed flight to be taken care of,negative
 :( Thanks for the opportunity...,positive
 so you jacked out my cousins trip to Portland and then Cancelled Flightled her return trip?! No more United,negative
" haha, thanks for the explanation",positive
   Yes. Dale at Baggage office was wonderful. But not everyone is on the same page down there... We had a 6 hour wait!,negative
" How is this considered ""on time"" if it's arriving at destination half hour Late Flightr than scheduled? ",negative
  Sitting at the gate on Flight 719 for an hour due to computers being down. What backup plan is in place for this??,negative
" You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it.",negative
 passengers sitting on plane for two hours flight #4663 from CMH!!!  All other flights have left #usairwaysfail #worstairlineever,negative
 I have flown with you 10 times in the last 13 days. 8 out of 10 flights have been delayed. Huge mistake on my part. Don't fly united,negative
. 3 days &amp; still not home. Not even off the ground. 3. Days. #PastMyPatienceExpirationDate,negative
 Checking tracing information. You got 2 numbers wrong in my phone number &amp; how did a turquoise duffle bag become a black laptop bag?,negative
" ok, thanks you! Have a great night AA team!",positive
 checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,negative
 we will...sunday! Just a few days away,positive
 all of these issues are not based on weather or things that are out of your control. These  issues are based on negligence.,negative
 I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?,negative
 the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.,neutral
" Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",negative
 I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,negative
 thanks! It's hectic for everyone but their actions don't represent the company well IMO,positive
 3rd connecting flight delayed but still cannot make it &amp; still unable to speak to a real person,negative
 the wifi in the ewr lounge reminds me of the old days of dial up,negative
" of the airplane otherwise they would call the Police, because the flight had to take off before 12h30am",negative
 flight # 317,negative
 I get Sunday due to weather and ok Monday they're busy but this is crazy,negative
 you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks,positive
 I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days,negative
 this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane.  Someone is compensating me,negative
" I'm scheduled to come back tomorrow, finally but I don't know SWA hasn't flown out of  yet but  has",neutral
" Hahaha.... ""Meanwhile in Russia....""",neutral
  good luck I've been waiting a week,negative
  well its 11:45am and just got an email that my 11am flight is delayed-thats not right,negative
 I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees,negative
 which now has maintenance issues with an undetermined amount of time until the mechanics even arrive,negative
 Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app,negative
" worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence.",negative
" I believe it's Irina. On the flip-side, super disappointed that EatUp Cafe isn't available on this BOS --&gt; SFO flight today.",negative
 things happen it's ok just wish I was on the beach and not in the airport,positive
 can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in,neutral
 completely unacceptable to seat 1st class passenger into middle seat in 38 (not even premium economy),negative
 All good... beers and #oscars2015 ar #DIA,positive
 Hey any chance you have an update on Flight 99 Hartford to D.C.?,neutral
" oh, is it only in Atlanta?",neutral
💯💯💯 RT : Our fleet's on fleek. ,neutral
 I see. Thanks for explaining.,positive
 Thanks guys got some sleep. Hang in there DFW with bad weather.,positive
" is your companion pass broken today? 
purchase.error.INVALID_LOYALTY_MEMBER_ACCOUNT_STATUS (SW900001-vyiL1XKlROG24fS-918j_A)",neutral
 how long do we have to be delayed after boarding before we get a free drink? #gettingthirsty,negative
 thanks!,positive
 you guys should stop doing service in Denver it's horrible I get stuck here every time! I've been here almost 24hrs,negative
 will you please work out a contract with  to offer service there..,neutral
 I would love a +1 #RedCarpet  treatment,neutral
" Your AA3465 staff are refusing to allow a woman to board. She was here at 8 for 8:16 departure. Sign still ""Now Boarding""...",negative
 with such disrespect I cannot even begin to explain. He has an issue with women and he literally yelled at me and pulled me off,negative
 how long for a reply,negative
 Where should I fly by May 3rd? Plz advise.,neutral
 okay. I just sent it.,neutral
 yes there's issues on the site as well unfortunately.,negative
 had a great flight to and from Cabo last week with my family #smoothflight #frequentflyer,positive
 you are offering us 8 rooms for 32 people #FAIL,negative
" Thanks! Bleh, disconnected! Let's try this again!!",negative
 should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!,negative
Lmfaooo “: Our fleet's on fleek. ,positive
 love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,positive
 is the airline of the Oscars but doesn't carry ABC on Direct TV?!?! Fail - now I can't watch the Oscars. #united,negative
 will not let me reuse my ticket.  Thus I have booked my vacation with Delta!  Never flying on American again......,negative
 you guys operate a world class company and for that I thank you,positive
 I need to be back in Cleveland as early as possible tomorrow,neutral
 any updates with the DOT looking at the united fares from London to the US from last week?,neutral
 you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!,negative
" Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?",negative
 on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.,negative
 just delayed my flight to SLC by 2.5 hours. What gives? #snowforce,negative
 sent,neutral
  Wow what an amazing video  Great world Guys #Bluemanity #CoreValues #Passion #AeroJobMarket,positive
 - 800 is not int'l friendly,negative
"Nice RT : The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience ",positive
 will do. Hoping for a voucher for a future flight #Optimistic,positive
 Thanks for having us hang out at Tampa Airport forever today!!! It's really been an awesome experience,positive
 Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT ,neutral
 and a husband.,neutral
 not impressed with your customer service. everyone has been unhelpful and incredibly rude.,negative
 flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(,negative
" incompetent/rude service today. Missed my connecting flight, then the customer service desk was terrible to me. Really upset w untd.",negative
" we're on AA1401 landed at 8:55pm in Miami, but waiting for a gate. Can someone on your team help us out?!",negative
 not anymore.,negative
" Thank you for the response, we got it resolved at the counter.",positive
 my bag landed 1 day Late Flight at sfo at 11:40am. How can it be 10:01pm and I still don't have it? Flight 719 2/22/14,negative
 can I get a beer please. Flight #1715,neutral
" got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… ",positive
 My flying United is over...sorry. The Captain still had 20 minutes of pre-flight preparations to make while we sat with no air!,negative
 can't DM you without you following me...,negative
 yep after two hours and thirty minutes,negative
 I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,negative
 any chance you could look into my problem from earlier?,neutral
  HAHA. you didn’t disappoint. Well done. #JVMChat,positive
 selfie on the flight 83 from #JFK to #Orlando . With  ,neutral
 Love you guys😍😍😍 ,positive
 TY Can you confirm or deny if AA953 left JFK? I want to figure out if more delays are in store. Internet giving different info.,negative
 I think it's safe to say that after 25 years of loyal #JetBlue flying we are officially DONE. #Byebyejetblue,negative
 that is the most useless tweet I've ever seen out of you.,negative
 but Virgin has wifi 👀,neutral
 - Hanging up on customers with no chance for a callback is a failure of customer service. 1:30am EST and no one can answer? 2/2,negative
 I'm frustrated by all of the  attitude toward #ExecPlat members. #thenewamerican,negative
  what a patronizing response to a legitimate issue,negative
 I have submitted my request. I would appreciate a call by 9am eastern. Thank you.,neutral
 I'm on flight 1027 tomorrow that got Cancelled Flightled. Need to find an alternative to get to Dallas. Please help.,negative
 I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,neutral
 any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...,neutral
 No worries they called back 4 hrs Late Flightr while I was asleep and took an additional $200 fee. So by AA standards everything's gr8,negative
" your website has now reverted my 1st flight to only a 5-minute delay. But it's changed, so is that reliable information?",negative
 what's the status of flight 1357 out of sju?,neutral
 can't wait! Thanks for the response!❤️,positive
" your ticket agents at gate 4 in Providence airport rocked tonight, especially Kristy, sorry if that is not the correct spelling.",positive
" the kind gentleman at the gate tells me to ""go left"" to get my hotel voucher at the ticket gate. Took about 20min to get there",negative
 That's correct—I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2),negative
" enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match.",negative
 I changed my flight through St. Louis. Thanks for the reply though!,positive
   Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral
 I've been a fan of imagine dragons since 2012 and they're my fave band and #DestinationDragons is during my bday can I get tix,neutral
"  Almost half hour on hold.  My cell phone battery is dying.  Thanks for your loyalty from a ""Platinum"" member",negative
" no- we are boarding- but why can't your agents, on the phone, taking care of 1K travellers, link reservations?!?!!",negative
 65 and 72 year old flying to Tokyo for vacation both with bad knees and this happens   ,negative
 Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr,negative
" I tried.   We were hung up on, twice. After speaking with someone, then put on hold for 45 minutes.  No resolution.",neutral
 she's the type of person that can make a customers day! I fly 100+ times a year &amp; she's one of the top flight attendants I've had!,positive
" yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations",negative
 so if this game was the one reason I payed for  is there something we could work out here? ,neutral
 so how do we get me a person?,neutral
"  you were always my go to. What happened?  Airbus over Boeing, and now no customer service?",negative
 when are you guys flying it froward in the Bahamas.,neutral
 I DM'd you,negative
 #stepup #makeitright re you best? Or just money hungry? #wewillsee,neutral
 retiring with my hubby and it's our 25th wedding anniversary this year! Companion pass please!!,neutral
 thank you!,positive
" Why is my ""first available"" flight for me now Tuesday but a flight today  that is ""booked ""#flt 755 available to buy online?",negative
" You load our plane at ORD knowing pilots are 2 hrs Late Flight, then discover plane needs to be fueled? #WTF #united #incompetent",negative
  big thank you to your ticketing agent Ute V at Dulles-Washington for OUTSTANDING guest service to get me rebooked,positive
" Okay, I think 1565 has waited long enough for a gate at DFW...",negative
 I have had 4 flights Cancelled Flightled through yall!!!! Im sick of it 😠😠,negative
   No but my friend in the picture - Phillip Heller (JFK IFC) did and he said it was delicious!,positive
 You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,negative
 your chairmans phone is down. what other number can i use?,negative
 here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted,negative
 1 1/2 hours on hold to customer service without anyone answering is more than ridiculous!,negative
 thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 😊,negative
 I did. they told us the wrong carousel number.,neutral
 I DMed you my AA &amp; phone #s &amp; you can't have someone call me? What was the point of your response? You didn't resolve anything!,negative
 Who can I contact about requesting a charity donation? #ThankYou,neutral
 Great thanks,positive
 #onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.,negative
 we're still stucked in the airport. #AADelay #AA919,negative
 thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,positive
 about time! Thank you!,positive
 no they dont.  I think I already said that.  No one responds.  Its an auto response.  Wait is this an auto response??????,negative
 can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,neutral
" rude cust ser agents busy chatting, then yelled bc I took pic. Put me stdby when seat. Diff agent gave me seat 30min Late Flightr. Platinum",negative
"
 Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.",negative
" long wait? I literally went shopping at 3 different centers, had lunch and prepared dinner. surprise, it's winter! staff better",negative
 2 bad planes &amp; 3 gate changes= lots of exercise. #travelfail let's hope this plane works. I'm tired.,negative
 dropping the ball. Again. No catering. Plane switch. No gate attendant. 2 hours Late Flight. Really nice.,negative
" car services to and from the hotel, food, hotel cost bc of Cancelled Flightlations fall on the customer with last minute notifications",negative
" ok, have sent u info via DM. I appreciate your help and consideration. 😊",positive
 has two whole people trying to schedule a flight's worth of missed connections. Shameful ,negative
"..still here. feet are freezing b/c doors have been open. Flt time was 8:30.  We have fuel but now waiting for ""rampers"" #AA4285",negative
 Merging AA and DividendMiles yield an error. What are the _exact_ steps to navigate the phone menu? All I get is a computer.,negative
 Flight 683 last night was #bad4business. Will be a long time before I recommend United to anyone.,negative
 i will be writing a very detailed letter to you all about this experience today. I have never experienced such awful cs ever,negative
 thank you! I will be calling you! #CheapOairChat,positive
 don't think you guys could mess things up any more.. Never flying with you again!,negative
 Donna and Juan still the best in the United Club_ too bad UAL does not get it,negative
 ...have you seen Blue? Go look it up :),positive
 will do! #heart #flying,neutral
"  If you updated the screens, then people would know the Late Flightst info, good or bad. And that wouldn't work because...",negative
 I continue to be amazed by the amazing customer service.  Thank you SWA!,positive
 Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report,neutral
 So do I need to book two one ways in order for her to fly as an unaccompanied minor?,neutral
 may want to direct that to the people at  tok,neutral
. Worst flying experiences ever the past three days. Your airline needs to get it together. Lost a customer with me,negative
 she also appreciated having her very own hashtag! :) #lucycat,positive
 to begin Dallas-Austin #flights in April - 88.9 KETR ,neutral
" why, when you book a flight now, does jetblue separate a 3yr old from the mother? Isn't that a bit stupid? check-in headaches!",negative
 On flt 1627 from DFW to FAT on 2/23 and it was 86'd. Can you rebook me on the 1359 flight tonight? Can't get through on phone.,neutral
 I'm curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar-mat to get to a gate,negative
  So I contacted my bank. They took the money out today. I also contacted  they said my reservation is,neutral
" Its not that I wasn't offered ""perks"" by .  I ASKED and was told, ""NO."" #thenewamerican",negative
 I digg it!,neutral
  your checkin is lame for business. Really last seat? I have broad shoulders haha,negative
 knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,positive
 What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,negative
 his cell phone record needs to be checked to see who did conversed with. I trust the FAA can handle this better.,negative
 can u help rebook passenger via Twitter/DM.  Been on hold for 1.5 hours. Thanks!,negative
 Results Handily Exceed Forecasts -  ,neutral
" Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?",neutral
 sent,neutral
 I hate you for this 😒 ,negative
" three flights with three  check in agents, not enough. #missedflight  back to Jet Blue",negative
 how many are left?!,neutral
 Old school ride home to LAX from Houston #flyingRetro ,neutral
 how much does a ski bag cost to check?  Bag contains 1 pair is skis and one pair of poles,neutral
 How am I supposed to Cancelled Flight it if I can't do it online?  I don't want to lose all the funds on the ticket.  HELP!!! :(,negative
"  Guys, let it go. ",positive
" despite shaky connections, looks like I'll get home tonight. Great job,  - was touch and go for a while..",positive
 I was flying from Ft Lauderdale FL to Seattle WA on the 02/28/2015 until the 03/03/2015 and they don't want to honor my flight.,negative
  I got rebooked for tomorrow,neutral
 paid for my own $200 rental car just to not go through this for the 3rd day  :(,negative
 didn't realize my bag/ contents were wet until I got to my hotel. Sent my suit/shirts out to be dry cleaned. Mtgs start tomorrow.,negative
" I want to add, my flight to Mexico was on Air Canada. Same exact situation, but with none of the problems I've had with Jet Blue.",negative
 thank you!,positive
 ....I am on attempt #6 and hour #10 of calling and being put on hold.  Not feeling confident that I will ever get through...,negative
 don't I always?,neutral
" 
How do I get a companion pass??? Thanks,  Lin S",neutral
" heard about the voucher/miles credit for Cancelled Flighting my international flight yesterday, but I didn't get an email.",negative
 so I can make a reservation,neutral
 I'll be calling tomorrow,neutral
 delayed going home AGAIN. Getting really tired of delays.,negative
 I put a call back in at 1AM and still nothing at 8AM. You think you might get back to me?,negative
 If you follow me I will DM you my phone # which you can call.,negative
 thanks to the whole team for an on-time flight despite inclement weather ,positive
 next day,neutral
" Supposedly, they're out for delivery. I'll believe it when I see it.",negative
 ok we got as far as Atlantic City due to JFK being closed. Can you get us to HPN or LGA?? Please?,negative
 nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.,positive
 something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?,negative
 I have never seen such incompetency from a gate agent in years of business travel DFW B16 gate agent needs training or new job,negative
 Thanks!,positive
 trying to check-in...but looks like your site is down?,negative
 Hey AA - can you help with an itinerary for a plat custy?  Stuck in PVR and phones aren't working,negative
 After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.,negative
 ticket counter people here are not helping and just want to charge more money even after this horrible day.,negative
 Here is the photo ;) ,neutral
 it wasn't a delay so much as a straight Cancelled Flightlation. Weather wasn't an issue either.,negative
 how is it that my flight #3367 can arrive early and be delayed due to no gate being available. We are now 20 min Late Flight on tarmac,negative
"Sorry, . I accidentally popuLate Flightd with you instead of . Can't wait 'til ""U"" are the only ""U"" in the sky. #NewAmericanStinks",neutral
 who is he I must send a note!!! Too good for words!,positive
“:  We appreciate the #shoutout for Roberto. DM your confirmation code so we can forward your kind words.” sent,neutral
" what's the deal with flight 5268 from DCA to PHL? We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac?",negative
 Why is there no contact email for customer complaints?,negative
" you are officially my favorite, thank you for the wonderful service at JFK",positive
" that the flight was delayed &amp; closed the doors only to tell us we would not be leaving for an hour and a half. Bad, bad service",negative
" US 728. Nope, not getting off. 3 hours in the plane. 4 pilot announcements. One water run of the planet's smallest water bottles.",negative
 if you could change your name to  and do what they do...that'd be awesome. Also this plane smells like onion rings.,negative
 Pittsburgh,neutral
" Ok great thanks! I had a great flight, FYI. I'm excited to fly again. I just was frustrated I was not able to check in.",neutral
 Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,negative
 I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,neutral
  Wish you allowed  to access you site for awards tracking.,neutral
I hate you all. RT : Our fleet's on fleek. ,negative
 but in the meantime I'll be sleeping on a park bench on dadeland st.  Thanks guys!,negative
 40 minutes to put my TSA number in… 40 mins… and stop holding people hostage with requiring a dividends miles acct. ,negative
 awesome,positive
 and a HUGE thanks to the crew on flight 1348 who flew in to DCA from SJU Monday night in the snow so we could have a plane!!!,positive
  : nothing like supporting your own mechanics and maintenance workers...instead United puts out a video of TIMCO doing wifi.,negative
 hates guitar players. Chgd for oversize AND extra bag on my acoustic guitar. Epic fail.,negative
" it is the same passenger, just her maiden name ended up as last name through online Flight Booking Problems.  Yes, understand non transferable",negative
 I'm amazed at the lack of communication with the passengers.,negative
 roundtrip to London on  ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies,negative
 thanks! Will you guys be getting the A380s anytime soon?,neutral
  thanks for adding passbook ability! Hopefully we can do group passbook tickets in the future somehow.,positive
 flt 3260 out of mht. Have fun with my kids and grandkids 10 of them!!  Jack says hi! ,neutral
 and  aren't as merged as the marketing departments would have us believe. Maybe  or  can get me home?,neutral
" I tried when I landed, but there was no-one there.  I've emailed your customer service twice now who don't seem to care.",negative
 you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?,neutral
 you can't control the weather but you can control customer service. Without luggage for 24 hours &amp; still yet to speak to a human.,negative
  that totally sucks my cousin worked at PHL said ,negative
 I understand flight Cancelled Flightation but not being able to get through to change that flight for 6 hrs is not acceptable.,negative
 : You Make the Reservation; We'll Make the Excuses! #usairwaysfail,negative
 my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral
 how comes no one has answered my calls or emails?,negative
